                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71737,                0.54145,                 1.0527,                0.93492,                0.74233,                0.81848,                 0.5151,                 1.3259,                0.77552,                 1.4571,             0.00024747,             0.00024747,             0.00024747
                     36,                0.70655,                0.53916,                 1.0482,                0.91684,                0.75013,                0.82179,                0.54425,                 1.2341,                0.74517,                 1.3771,             0.00023334,             0.00023334,             0.00023334
                     37,                0.69656,                 0.5209,                 1.0381,                0.93277,                0.75297,                 0.8281,                0.55006,                 1.2241,                 0.7703,                  1.381,              0.0002192,              0.0002192,              0.0002192
                     38,                0.68085,                0.51361,                 1.0364,                0.89935,                0.76079,                0.83741,                0.55726,                 1.1845,                0.75132,                 1.3477,             0.00020506,             0.00020506,             0.00020506
                     39,                0.68067,                0.51165,                 1.0356,                0.91276,                0.75032,                0.83482,                0.55138,                 1.2179,                0.73923,                 1.3718,             0.00019092,             0.00019092,             0.00019092
                     40,                0.66597,                0.49613,                 1.0219,                0.92276,                0.77332,                0.83854,                0.57057,                 1.1632,                0.72298,                 1.3401,             0.00017679,             0.00017679,             0.00017679
                     41,                0.66804,                0.43211,                 1.0162,                0.92968,                0.76587,                0.83964,                0.57179,                 1.1416,                0.69814,                 1.3268,             0.00016265,             0.00016265,             0.00016265
                     42,                0.64405,                 0.4088,                 1.0019,                0.93717,                0.75237,                0.83587,                0.56413,                  1.168,                0.72337,                 1.3501,             0.00014851,             0.00014851,             0.00014851
                     43,                0.63718,                0.40346,                0.99924,                0.93051,                0.77119,                0.84443,                0.56479,                 1.1882,                 0.7056,                   1.38,             0.00013437,             0.00013437,             0.00013437
                     44,                0.62699,                0.39252,                0.99353,                0.91688,                0.77423,                 0.8398,                0.57148,                 1.1408,                0.69076,                 1.3464,             0.00012024,             0.00012024,             0.00012024
                     45,                0.62117,                0.39393,                 0.9933,                 0.9151,                0.77053,                0.83577,                0.56105,                  1.172,                0.70371,                  1.352,              0.0001061,              0.0001061,              0.0001061
                     46,                0.60436,                0.38144,                0.98395,                0.92846,                0.77097,                0.83557,                0.55522,                 1.2065,                0.71075,                 1.3911,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.59303,                0.37146,                0.97906,                0.93552,                 0.7586,                0.83991,                0.58305,                  1.125,                  0.669,                 1.3294,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 0.5833,                0.36572,                0.96945,                0.92358,                0.76953,                0.83972,                0.57676,                 1.1409,                0.67621,                 1.3333,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.57279,                0.35865,                0.96451,                0.94578,                0.76606,                 0.8429,                0.57865,                 1.1477,                0.66321,                 1.3474,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.56302,                0.35152,                0.95946,                0.93105,                0.78449,                0.84313,                0.58318,                 1.1302,                0.66398,                 1.3414,             3.5414e-05,             3.5414e-05,             3.5414e-05
